"ドメイン","意味","ユーザー向け表示","Ainy内部コード（正式）","語彙種別","名前空間ID（正式）","昔のコード","今後","保存エンティティ","保存meta_key","JSON内キー","発火タイミング","辞書ステータス"
"ユーザー","利用者種別：一般ユーザー","一般ユーザー","general","role","user.role_general","subscriber / user_type（旧）","general に統一（新規・表示）","usermeta","aidunite_role","","","正式"
"ユーザー","利用者種別：チーム代表者","チーム代表者","team_leader","role","user.role_team_leader","author（WP）/ leader 表記","team_leader に統一","usermeta","aidunite_role","","","正式"
"ユーザー","利用者種別：保護者","保護者","parent","role","user.role_parent","guardian 表記","parent に統一","usermeta","aidunite_role","","","正式"
"ユーザー","利用者種別：選手","選手","player","role","user.role_player","athlete 表記","player に統一","usermeta","aidunite_role","","","正式"
"ユーザー","利用者種別：支援者","支援者","supporter","role","user.role_supporter","（未定義の旧値あり）","supporter に統一","usermeta","aidunite_role","","","正式"
"ユーザー","利用者種別：マッチ関連","マッチ","match","role","user.role_match","—","製品ロールから外す。既存値は general へ寄せる","usermeta","aidunite_role","","","削除対象"
"ユーザー","利用者種別：公開向け","—","public","role","user.role_public","—","製品ロールから外す。既存値は general へ寄せる","usermeta","aidunite_role","","","削除対象"
"ユーザー","利用者種別：管理者","管理者","administrator","role","user.role_administrator","WP administrator","administrator に統一","usermeta","aidunite_role","","","正式"
"ユーザー","会員登録：メール未確認","メール確認をお願いします","pending","registration","user.registration_pending","—","新規登録は pending のみ","usermeta","registration_status","","","正式"
"ユーザー","会員登録：本登録完了","本登録済み（ログイン可）","accepted","registration","user.registration_accepted","active（会員登録のみ・読取互換）","新規は accepted のみ","usermeta","registration_status","","","正式"
"ユーザー","アカウント：有効","（通常は表示なし）","active","account","user.account_active","DB: 0 または空（レガシー互換）","API/normalize は active。新規保存は active へ移行（段階）","usermeta","user_status","","","正式"
"ユーザー","アカウント：無効","ご利用いただけません","suspended","account","user.account_suspended","DB: 非0 任意値","無効化フローと表示を仕様で固定","usermeta","user_status","","","正式"
"ユーザー","プロフィール性別：男性","男性","male","gender","user.profile_gender_male","—","募集性別（試合）とは別物。混同しない","usermeta","user_gender","","","正式"
"ユーザー","プロフィール性別：女性","女性","female","gender","user.profile_gender_female","—","同上","usermeta","user_gender","","","正式"
"ユーザー","プロフィール性別：その他","その他","other","gender","user.profile_gender_other","—","同上","usermeta","user_gender","","","正式"
"ユーザー","プロフィール性別：回答しない","回答しない","prefer_not_to_say","gender","user.profile_gender_prefer_not_to_say","—","同上","usermeta","user_gender","","","正式"
"ユーザー","会員登録経路（正）","—","member_register","route","user.route_member_register","—","正ルートのみ。保存キーは将来 registration_source 等で固定","（未保存・目標）","registration_source","","","正式"
"ユーザー","会員登録経路（旧フォーム）","—","—","route","user.route_forminator_271","Forminator フォーム271","廃止または正ルートと同じデータに統一","—","（Forminator・メタ不統一）","","","削除対象"
"チーム","チーム公開：承認待ち（WP）","承認待ち","pending","publish_status","team.publish_status_pending","—","申請中。team.status_pending とは別","posts","post_status（WP列）","","","正式"
"チーム","チーム公開：利用可能（WP）","公開済み","publish","publish_status","team.publish_status_publish","—","管理者承認後","posts","post_status（WP列）","","","正式"
"チーム","チーム運用：承認待ち","承認待ち","pending","status","team.status_pending","—","マイページ等。publish_status とは別","postmeta","team_status","","","正式"
"チーム","チーム運用：有効","利用中","active","status","team.status_active","—","承認後 active","postmeta","team_status","","","正式"
"チーム","チーム種別：男子チーム","男子","male","gender","team.gender_male","both / mixed / 空文字","新規は male のみ。both は保存禁止・読取除外","postmeta","team_gender_option","","","正式"
"チーム","チーム種別：女子チーム","女子","female","gender","team.gender_female","both / mixed","新規は female のみ。both は保存禁止","postmeta","team_gender_option","","","正式"
"チーム","団体種別：学校","学校","school","org","team.org_school","DB保存: 学校","表示は日本語。読取は 学校→school","postmeta","team_type","","","正式"
