"growth_scenario","ops_scenario","horizon","club_teams","avg_players","connect_adoption_pct","avg_tuition_yen","ainy_tuition_fee_pct","ainy_fee_display","club_mrr_per_team_yen","paying_parents_per_team","tuition_gmv_per_team_yen","club_mrr_total_yen","stripe_cost_club_yen","club_revenue_net_yen","tuition_gmv_total_yen","ainy_tuition_revenue_yen","connect_platform_cost_yen","team_total_fee_pct_display","gross_profit_monthly_yen","gross_profit_annual_yen","gross_profit_per_team_yen","ainy_rev_share_of_gross_pct"
"保守","低稼働","6ヶ月","8","12","0.4","4000","0","0.0%","8000","4.8","19200","64000","2304","61696","153600","0","1600","3.6%","60096","721152","7512","0"
"保守","低稼働","6ヶ月","8","12","0.4","4000","0.014","1.4%","8000","4.8","19200","64000","2304","61696","153600","2150","1600","5.0%","62246","746952","7781","3.5"
"保守","低稼働","6ヶ月","8","12","0.4","4000","0.025","2.5%","8000","4.8","19200","64000","2304","61696","153600","3840","1600","6.1%","63936","767232","7992","6"
"保守","低稼働","6ヶ月","8","12","0.4","4000","0.05","5.0%","8000","4.8","19200","64000","2304","61696","153600","7680","1600","8.6%","67776","813312","8472","11.3"
"保守","低稼働","6ヶ月","8","12","0.4","4000","0.07","7.0%","8000","4.8","19200","64000","2304","61696","153600","10752","1600","10.6%","70848","850176","8856","15.2"
"保守","低稼働","12ヶ月","25","12","0.4","4000","0","0.0%","8000","4.8","19200","200000","7200","192800","480000","0","5000","3.6%","187800","2253600","7512","0"
"保守","低稼働","12ヶ月","25","12","0.4","4000","0.014","1.4%","8000","4.8","19200","200000","7200","192800","480000","6720","5000","5.0%","194520","2334240","7781","3.5"
"保守","低稼働","12ヶ月","25","12","0.4","4000","0.025","2.5%","8000","4.8","19200","200000","7200","192800","480000","12000","5000","6.1%","199800","2397600","7992","6"
"保守","低稼働","12ヶ月","25","12","0.4","4000","0.05","5.0%","8000","4.8","19200","200000","7200","192800","480000","24000","5000","8.6%","211800","2541600","8472","11.3"
"保守","低稼働","12ヶ月","25","12","0.4","4000","0.07","7.0%","8000","4.8","19200","200000","7200","192800","480000","33600","5000","10.6%","221400","2656800","8856","15.2"
