"Normalize関数","対象","入る値","変換するもの","出る値","保存先","優先度"
"aidunite_normalize_schedule_payload","schedule","intent/place_type/gender/attendance_status/is_match_requested","both→either、男子→male、女子→female、attending→present、not_attending→absent、pending/空→no_response","normalized schedule payload","postmeta(intent, schedule_place, matching_gender_condition, is_match_requested, male_slots, female_slots, attendance_data.status)","高"
"aidunite_normalize_match_request_payload","match_request","status/selected_place/selected_gender/cancel_reason_code/outcome_code/requires_reconfirm","publish→pending、accepted→established(原則)、both→either、canceled_reason/cancel_reason/aidunite_cancel_reason→cancel_reason_code","normalized match_request payload","postmeta(status, selected_place, selected_gender, cancel_reason_code, mr_outcome_code, requires_reconfirm)","高"
"aidunite_normalize_match_board_payload","match_board","board_status(またはMR集計入力)","旧accepted表示を互換吸収し、主状態はopen/pending/establishedへ統一","normalized match_board payload","postmeta(match_board_status)","高"
"aidunite_normalize_notification_payload","notification","type/is_read","TRUE/FALSE→true/false、team_approved/team_approval→team_approval_completed、match_accepted→match_established(将来正)","normalized notification payload","postmeta(type, is_read)","中"
"aidunite_normalize_team_payload","team","publish_status/team_status/gender/org_type/activity_*","both/mixed/空の除外・正規化、学校/クラブ/企業/地域/その他→school/club/corporate/community/other","normalized team payload","posts(post_status) + postmeta(team_status, team_gender_option, team_type, activity_*, aidunite_activation_stage)","中"
"aidunite_normalize_user_payload","user","role/registration_status/account_status/profile_gender/registration_source","subscriber/author/guardian/athleteのrole吸収、Forminator 271→legacy_forminator、active(会員登録旧値)→accepted互換","normalized user payload","usermeta(aidunite_role, registration_status, user_status, user_gender, registration_source)","中"
"aidunite_normalize_payment_payload","payment","payment_mode/selected_plan_id/trial_start_date/stripe_subscription_id","school→business、日付形式をYYYY-MM-DDへ統一","normalized payment payload","postmeta(payment_mode, selected_plan_id, trial_start_date, stripe_subscription_id)","中"
"aidunite_normalize_attendance_payload","attendance","attendance_status または attendance_data.status","attending/not_attending/pending/空→present/absent/no_response、JSONキーstatus統一","normalized attendance payload","postmeta(attendance_data.status)","中"
"aidunite_normalize_analytics_payload","analytics","event_type/funnel_step_id","funnel集計時のacceptedを互換吸収しestablished基準を明確化","normalized analytics payload","DB(analytics_page_event.event_type) + 集計コード(funnel step_id)","低"
"aidunite_normalize_chat_payload","chat","room_type/room_status/message_type","enum外値を排除しcanonical語彙へ統一","normalized chat payload","postmeta(room_type, status, message_type)","低"
